Country,Year,Code,Price (EUR/MWhe),Carbon intensity of electricity - gCO2/kWh,S-opta (gCO2-eq/kWh),Flat roof (gCO2-eq/kWh),S-90° (gCO2-eq/kWh),W-90° (gCO2-eq/kWh),N-90° (gCO2-eq/kWh),Latitude,Cluster
Austria,2015,AUT,31.764166666666668,172.06216,35.1,42.0,50.2,72.2,211.0,48.2,3
Austria,2016,AUT,28.956666666666667,154.61691,35.1,42.0,50.2,72.2,211.0,48.2,3
Austria,2017,AUT,34.41916666666666,162.9155,35.1,42.0,50.2,72.2,211.0,48.2,3
Austria,2018,AUT,40.891666666666666,157.87846,35.1,42.0,50.2,72.2,211.0,48.2,3
Austria,2019,AUT,40.137499999999996,152.77974,35.1,42.0,50.2,72.2,211.0,48.2,3
Austria,2020,AUT,33.09083333333333,133.40092,35.1,42.0,50.2,72.2,211.0,48.2,3
Austria,2021,AUT,107.59833333333334,136.0228,35.1,42.0,50.2,72.2,211.0,48.2,3
Austria,2022,AUT,262.435,141.78987,35.1,42.0,50.2,72.2,211.0,48.2,3
Austria,2023,AUT,102.38916666666667,110.81243,35.1,42.0,50.2,72.2,211.0,48.2,3
Belgium,2015,BEL,44.69166666666666,215.4026,40.1,47.9,56.0,80.8,206.9,50.8,3
Belgium,2016,BEL,36.585,158.79982,40.1,47.9,56.0,80.8,206.9,50.8,3
Belgium,2017,BEL,44.593333333333334,159.83127,40.1,47.9,56.0,80.8,206.9,50.8,3
Belgium,2018,BEL,55.24916666666667,187.33081,40.1,47.9,56.0,80.8,206.9,50.8,3
Belgium,2019,BEL,39.37416666666667,156.86697,40.1,47.9,56.0,80.8,206.9,50.8,3
Belgium,2020,BEL,31.855833333333333,166.85545,40.1,47.9,56.0,80.8,206.9,50.8,3
Belgium,2021,BEL,103.81833333333333,131.90462,40.1,47.9,56.0,80.8,206.9,50.8,3
Belgium,2022,BEL,243.74,139.7918,40.1,47.9,56.0,80.8,206.9,50.8,3
Belgium,2023,BEL,97.63166666666666,138.1068,40.1,47.9,56.0,80.8,206.9,50.8,3
Croatia,2017,HRV,51.776666666666664,255.73491,34.1,40.0,50.2,69.8,208.8,45.8,2
Croatia,2018,HRV,51.925000000000004,201.18343,34.1,40.0,50.2,69.8,208.8,45.8,2
Croatia,2019,HRV,49.251666666666665,242.68774,34.1,40.0,50.2,69.8,208.8,45.8,2
Croatia,2020,HRV,38.026666666666664,226.75737,34.1,40.0,50.2,69.8,208.8,45.8,2
Croatia,2021,HRV,114.28416666666668,210.45667,34.1,40.0,50.2,69.8,208.8,45.8,2
Croatia,2022,HRV,271.68583333333333,242.27528,34.1,40.0,50.2,69.8,208.8,45.8,2
Croatia,2023,HRV,104.01416666666667,204.96161,34.1,40.0,50.2,69.8,208.8,45.8,2
Denmark,2015,DNK,23.578333333333333,313.75955,39.8,48.3,54.5,77.6,220.5,55.7,3
Denmark,2016,DNK,27.757499999999997,360.8553,39.8,48.3,54.5,77.6,220.5,55.7,3
Denmark,2017,DNK,30.848333333333333,282.8479,39.8,48.3,54.5,77.6,220.5,55.7,3
Denmark,2018,DNK,44.865,296.92157,39.8,48.3,54.5,77.6,220.5,55.7,3
Denmark,2019,DNK,39.04416666666666,204.29008,39.8,48.3,54.5,77.6,220.5,55.7,3
Denmark,2020,DNK,26.245833333333334,188.94331,39.8,48.3,54.5,77.6,220.5,55.7,3
Denmark,2021,DNK,87.84249999999999,222.96478,39.8,48.3,54.5,77.6,220.5,55.7,3
Denmark,2022,DNK,214.79583333333335,201.77702,39.8,48.3,54.5,77.6,220.5,55.7,3
Denmark,2023,DNK,84.90666666666667,151.6503,39.8,48.3,54.5,77.6,220.5,55.7,3
Estonia,2015,EST,31.09166666666667,573.39905,46.0,56.5,62.8,88.1,248.6,59.4,0
Estonia,2016,EST,33.071666666666665,588.332,46.0,56.5,62.8,88.1,248.6,59.4,0
Estonia,2017,EST,33.218333333333334,582.8268,46.0,56.5,62.8,88.1,248.6,59.4,0
Estonia,2018,EST,47.05916666666667,573.9693,46.0,56.5,62.8,88.1,248.6,59.4,0
Estonia,2019,EST,45.85916666666666,509.85547,46.0,56.5,62.8,88.1,248.6,59.4,0
Estonia,2020,EST,33.678333333333335,404.6053,46.0,56.5,62.8,88.1,248.6,59.4,0
Estonia,2021,EST,86.52666666666666,450.62585,46.0,56.5,62.8,88.1,248.6,59.4,0
Estonia,2022,EST,191.97166666666666,489.88766,46.0,56.5,62.8,88.1,248.6,59.4,0
Estonia,2023,EST,91.00999999999999,416.6667,46.0,56.5,62.8,88.1,248.6,59.4,0
Finland,2015,FIN,29.676666666666666,181.89767,42.6,52.9,57.3,82.5,252.5,60.2,1
Finland,2016,FIN,32.43333333333333,199.41818,42.6,52.9,57.3,82.5,252.5,60.2,1
Finland,2017,FIN,33.20666666666667,185.87086,42.6,52.9,57.3,82.5,252.5,60.2,1
Finland,2018,FIN,46.77333333333333,192.93748,42.6,52.9,57.3,82.5,252.5,60.2,1
Finland,2019,FIN,44.03583333333333,171.11208,42.6,52.9,57.3,82.5,252.5,60.2,1
Finland,2020,FIN,28.005,130.1271,42.6,52.9,57.3,82.5,252.5,60.2,1
Finland,2021,FIN,72.165,135.48746,42.6,52.9,57.3,82.5,252.5,60.2,1
Finland,2022,FIN,153.47916666666666,130.23514,42.6,52.9,57.3,82.5,252.5,60.2,1
Finland,2023,FIN,56.607499999999995,79.158325,42.6,52.9,57.3,82.5,252.5,60.2,1
France,2015,FRA,38.52916666666667,59.117588,36.0,43.2,50.7,74.7,199.7,48.9,3
France,2016,FRA,36.72,68.557625,36.0,43.2,50.7,74.7,199.7,48.9,3
France,2017,FRA,44.995000000000005,78.2143,36.0,43.2,50.7,74.7,199.7,48.9,3
France,2018,FRA,50.20416666666667,59.93784,36.0,43.2,50.7,74.7,199.7,48.9,3
France,2019,FRA,39.485,59.834194,36.0,43.2,50.7,74.7,199.7,48.9,3
France,2020,FRA,32.16583333333333,59.083496,36.0,43.2,50.7,74.7,199.7,48.9,3
France,2021,FRA,108.83749999999999,59.76878,36.0,43.2,50.7,74.7,199.7,48.9,3
France,2022,FRA,275.06166666666667,78.81113,36.0,43.2,50.7,74.7,199.7,48.9,3
France,2023,FRA,97.25,56.038593,36.0,43.2,50.7,74.7,199.7,48.9,3
Germany,2015,DEU,31.764166666666668,503.5906,39.0,47.3,54.2,79.9,215.1,52.5,0
Germany,2016,DEU,28.956666666666667,498.3009,39.0,47.3,54.2,79.9,215.1,52.5,0
Germany,2017,DEU,34.63833333333333,469.71106,39.0,47.3,54.2,79.9,215.1,52.5,0
Germany,2018,DEU,43.46333333333333,454.5454,39.0,47.3,54.2,79.9,215.1,52.5,0
Germany,2019,DEU,37.814166666666665,392.49112,39.0,47.3,54.2,79.9,215.1,52.5,0
Germany,2020,DEU,30.3725,355.6595,39.0,47.3,54.2,79.9,215.1,52.5,0
Germany,2021,DEU,97.27499999999999,394.53833,39.0,47.3,54.2,79.9,215.1,52.5,0
Germany,2022,DEU,235.53083333333333,420.05746,39.0,47.3,54.2,79.9,215.1,52.5,0
Germany,2023,DEU,95.39083333333333,380.9505,39.0,47.3,54.2,79.9,215.1,52.5,0
Greece,2015,GRC,51.94,603.52594,26.1,29.1,43.2,51.1,191.1,38.0,2
Greece,2016,GRC,42.83083333333334,571.5082,26.1,29.1,43.2,51.1,191.1,38.0,2
Greece,2017,GRC,54.69916666666666,579.74457,26.1,29.1,43.2,51.1,191.1,38.0,2
Greece,2018,GRC,60.3425,545.1435,26.1,29.1,43.2,51.1,191.1,38.0,2
Greece,2019,GRC,63.83416666666667,496.976,26.1,29.1,43.2,51.1,191.1,38.0,2
Greece,2020,GRC,45.06333333333333,423.06885,26.1,29.1,43.2,51.1,191.1,38.0,2
Greece,2021,GRC,116.04666666666667,383.1121,26.1,29.1,43.2,51.1,191.1,38.0,2
Greece,2022,GRC,279.38916666666665,376.6712,26.1,29.1,43.2,51.1,191.1,38.0,2
Greece,2023,GRC,119.23916666666666,336.57352,26.1,29.1,43.2,51.1,191.1,38.0,2
Ireland,2018,IRL,72.11999999999999,364.07767,42.5,52.0,57.1,87.5,207.4,53.3,0
Ireland,2019,IRL,50.33833333333334,313.25302,42.5,52.0,57.1,87.5,207.4,53.3,0
Ireland,2020,IRL,37.54916666666667,292.8661,42.5,52.0,57.1,87.5,207.4,53.3,0
Ireland,2021,IRL,135.35,353.81693,42.5,52.0,57.1,87.5,207.4,53.3,0
Ireland,2022,IRL,225.45666666666668,333.23404,42.5,52.0,57.1,87.5,207.4,53.3,0
Ireland,2023,IRL,126.51249999999999,290.80496,42.5,52.0,57.1,87.5,207.4,53.3,0
Italy,2015,ITA,52.305,398.60562,27.6,32.6,41.8,58.1,204.0,41.9,2
Italy,2016,ITA,42.655,389.50864,27.6,32.6,41.8,58.1,204.0,41.9,2
Italy,2017,ITA,53.9125,392.75568,27.6,32.6,41.8,58.1,204.0,41.9,2
Italy,2018,ITA,61.26416666666666,366.81116,27.6,32.6,41.8,58.1,204.0,41.9,2
Italy,2019,ITA,52.34833333333333,351.288,27.6,32.6,41.8,58.1,204.0,41.9,2
Italy,2020,ITA,38.89,334.2726,27.6,32.6,41.8,58.1,204.0,41.9,2
Italy,2021,ITA,125.015,339.27634,27.6,32.6,41.8,58.1,204.0,41.9,2
Italy,2022,ITA,303.0883333333333,378.44693,27.6,32.6,41.8,58.1,204.0,41.9,2
Italy,2023,ITA,127.40083333333332,330.71826,27.6,32.6,41.8,58.1,204.0,41.9,2
Lithuania,2015,LTU,41.906666666666666,295.50827,43.2,51.5,60.5,86.7,232.2,54.7,3
Lithuania,2016,LTU,36.50833333333333,234.15977,43.2,51.5,60.5,86.7,232.2,54.7,3
Lithuania,2017,LTU,35.1525,182.58426,43.2,51.5,60.5,86.7,232.2,54.7,3
Lithuania,2018,LTU,49.9625,178.08218,43.2,51.5,60.5,86.7,232.2,54.7,3
Lithuania,2019,LTU,46.123333333333335,170.65869,43.2,51.5,60.5,86.7,232.2,54.7,3
Lithuania,2020,LTU,34.02333333333333,231.91492,43.2,51.5,60.5,86.7,232.2,54.7,3
Lithuania,2021,LTU,90.24000000000001,220.93022,43.2,51.5,60.5,86.7,232.2,54.7,3
Lithuania,2022,LTU,229.2266666666667,177.18448,43.2,51.5,60.5,86.7,232.2,54.7,3
Lithuania,2023,LTU,94.6375,160.07195,43.2,51.5,60.5,86.7,232.2,54.7,3
Luxembourg,2015,LUX,31.764166666666668,268.6567,39.7,46.2,57.6,79.9,205.7,49.7,3
Luxembourg,2016,LUX,28.956666666666667,215.18987,39.7,46.2,57.6,79.9,205.7,49.7,3
Luxembourg,2017,LUX,34.63833333333333,188.8889,39.7,46.2,57.6,79.9,205.7,49.7,3
Luxembourg,2018,LUX,43.46333333333333,187.50002,39.7,46.2,57.6,79.9,205.7,49.7,3
Luxembourg,2019,LUX,37.814166666666665,168.2243,39.7,46.2,57.6,79.9,205.7,49.7,3
Luxembourg,2020,LUX,30.3725,163.93442,39.7,46.2,57.6,79.9,205.7,49.7,3
Luxembourg,2021,LUX,97.27499999999999,162.60162,39.7,46.2,57.6,79.9,205.7,49.7,3
Luxembourg,2022,LUX,235.53083333333333,144.06781,39.7,46.2,57.6,79.9,205.7,49.7,3
Luxembourg,2023,LUX,95.39083333333333,105.26315,39.7,46.2,57.6,79.9,205.7,49.7,3
Netherlands,2015,NLD,40.07,553.07825,40.1,48.2,55.9,78.2,210.6,52.4,0
Netherlands,2016,NLD,32.222500000000004,525.18427,40.1,48.2,55.9,78.2,210.6,52.4,0
Netherlands,2017,NLD,39.329166666666666,489.91727,40.1,48.2,55.9,78.2,210.6,52.4,0
Netherlands,2018,NLD,52.48916666666667,467.10876,40.1,48.2,55.9,78.2,210.6,52.4,0
Netherlands,2019,NLD,41.21583333333333,409.99585,40.1,48.2,55.9,78.2,210.6,52.4,0
Netherlands,2020,NLD,32.2275,342.89932,40.1,48.2,55.9,78.2,210.6,52.4,0
Netherlands,2021,NLD,102.64833333333333,352.35175,40.1,48.2,55.9,78.2,210.6,52.4,0
Netherlands,2022,NLD,241.20416666666665,324.9917,40.1,48.2,55.9,78.2,210.6,52.4,0
Netherlands,2023,NLD,96.13416666666666,267.62177,40.1,48.2,55.9,78.2,210.6,52.4,0
Norway,2015,NOR,20.225833333333334,33.636364,45.3,57.7,59.6,90.2,257.4,59.9,1
Norway,2016,NOR,26.131666666666664,33.1014,45.3,57.7,59.6,90.2,257.4,59.9,1
Norway,2017,NOR,28.598333333333333,32.980373,45.3,57.7,59.6,90.2,257.4,59.9,1
Norway,2018,NOR,43.54,33.09579,45.3,57.7,59.6,90.2,257.4,59.9,1
Norway,2019,NOR,39.015,33.475304,45.3,57.7,59.6,90.2,257.4,59.9,1
Norway,2020,NOR,9.245,30.391394,45.3,57.7,59.6,90.2,257.4,59.9,1
Norway,2021,NOR,62.44166666666666,26.920383,45.3,57.7,59.6,90.2,257.4,59.9,1
Norway,2022,NOR,138.8025,29.48403,45.3,57.7,59.6,90.2,257.4,59.9,1
Norway,2023,NOR,59.093333333333334,30.080084,45.3,57.7,59.6,90.2,257.4,59.9,1
Portugal,2015,PRT,50.41083333333333,413.96167,26.1,30.0,41.8,54.3,193.0,38.7,4
Portugal,2016,PRT,39.384166666666665,343.60715,26.1,30.0,41.8,54.3,193.0,38.7,4
Portugal,2017,PRT,52.446666666666665,433.75586,26.1,30.0,41.8,54.3,193.0,38.7,4
Portugal,2018,PRT,57.4475,358.69754,26.1,30.0,41.8,54.3,193.0,38.7,4
Portugal,2019,PRT,47.895833333333336,300.969,26.1,30.0,41.8,54.3,193.0,38.7,4
Portugal,2020,PRT,33.98833333333334,248.29735,26.1,30.0,41.8,54.3,193.0,38.7,4
Portugal,2021,PRT,111.48166666666667,210.48354,26.1,30.0,41.8,54.3,193.0,38.7,4
Portugal,2022,PRT,167.9975,225.19412,26.1,30.0,41.8,54.3,193.0,38.7,4
Portugal,2023,PRT,88.61500000000001,165.55258,26.1,30.0,41.8,54.3,193.0,38.7,4
Serbia,2016,SRB,52.88,716.5735,33.0,38.9,48.7,69.7,207.1,44.8,0
Serbia,2017,SRB,51.04750000000001,740.82074,33.0,38.9,48.7,69.7,207.1,44.8,0
Serbia,2018,SRB,50.10333333333333,696.1518,33.0,38.9,48.7,69.7,207.1,44.8,0
Serbia,2019,SRB,50.46083333333333,707.7128,33.0,38.9,48.7,69.7,207.1,44.8,0
Serbia,2020,SRB,38.994166666666665,721.7391,33.0,38.9,48.7,69.7,207.1,44.8,0
Serbia,2021,SRB,113.59666666666665,653.152,33.0,38.9,48.7,69.7,207.1,44.8,0
Serbia,2022,SRB,272.91833333333335,695.6885,33.0,38.9,48.7,69.7,207.1,44.8,0
Serbia,2023,SRB,103.76166666666667,636.06226,33.0,38.9,48.7,69.7,207.1,44.8,0
Slovakia,2015,SVK,33.56666666666667,177.31027,34.6,41.2,49.9,72.0,213.6,48.1,3
Slovakia,2016,SVK,31.5175,177.23882,34.6,41.2,49.9,72.0,213.6,48.1,3
Slovakia,2017,SVK,40.969166666666666,183.07805,34.6,41.2,49.9,72.0,213.6,48.1,3
Slovakia,2018,SVK,48.44,191.67293,34.6,41.2,49.9,72.0,213.6,48.1,3
Slovakia,2019,SVK,41.516666666666666,171.21588,34.6,41.2,49.9,72.0,213.6,48.1,3
Slovakia,2020,SVK,33.98916666666667,158.54086,34.6,41.2,49.9,72.0,213.6,48.1,3
Slovakia,2021,SVK,102.4525,167.34006,34.6,41.2,49.9,72.0,213.6,48.1,3
Slovakia,2022,SVK,264.06666666666666,142.04973,34.6,41.2,49.9,72.0,213.6,48.1,3
Slovakia,2023,SVK,105.00333333333333,116.773544,34.6,41.2,49.9,72.0,213.6,48.1,3
Slovenia,2015,SVN,41.40833333333333,316.8919,37.2,42.6,56.2,71.5,216.6,46.0,2
Slovenia,2016,SVN,35.56583333333334,325.93964,37.2,42.6,56.2,71.5,216.6,46.0,2
Slovenia,2017,SVN,49.51166666666666,318.3801,37.2,42.6,56.2,71.5,216.6,46.0,2
Slovenia,2018,SVN,51.119166666666665,304.59055,37.2,42.6,56.2,71.5,216.6,46.0,2
Slovenia,2019,SVN,48.725833333333334,298.93015,37.2,42.6,56.2,71.5,216.6,46.0,2
Slovenia,2020,SVN,37.54416666666667,277.08704,37.2,42.6,56.2,71.5,216.6,46.0,2
Slovenia,2021,SVN,114.6225,269.40344,37.2,42.6,56.2,71.5,216.6,46.0,2
Slovenia,2022,SVN,273.69166666666666,257.48505,37.2,42.6,56.2,71.5,216.6,46.0,2
Slovenia,2023,SVN,104.63166666666666,231.27463,37.2,42.6,56.2,71.5,216.6,46.0,2
Spain,2015,ESP,50.26333333333333,328.53482,25.5,30.4,38.3,54.8,207.0,40.4,4
Spain,2016,ESP,39.61333333333334,282.9331,25.5,30.4,38.3,54.8,207.0,40.4,4
Spain,2017,ESP,52.21,329.20917,25.5,30.4,38.3,54.8,207.0,40.4,4
Spain,2018,ESP,57.29583333333333,290.8622,25.5,30.4,38.3,54.8,207.0,40.4,4
Spain,2019,ESP,47.705000000000005,246.6731,25.5,30.4,38.3,54.8,207.0,40.4,4
Spain,2020,ESP,33.95916666666667,199.09816,25.5,30.4,38.3,54.8,207.0,40.4,4
Spain,2021,ESP,111.40666666666668,193.53648,25.5,30.4,38.3,54.8,207.0,40.4,4
Spain,2022,ESP,167.62833333333333,217.76645,25.5,30.4,38.3,54.8,207.0,40.4,4
Spain,2023,ESP,87.44,174.05005,25.5,30.4,38.3,54.8,207.0,40.4,4
Sweden,2015,SWE,22.046666666666667,40.864197,41.9,53.2,55.6,81.9,238.2,59.3,1
Sweden,2016,SWE,29.214166666666667,42.979023,41.9,53.2,55.6,81.9,238.2,59.3,1
Sweden,2017,SWE,31.352500000000003,42.50137,41.9,53.2,55.6,81.9,238.2,59.3,1
Sweden,2018,SWE,44.78333333333333,42.72772,41.9,53.2,55.6,81.9,238.2,59.3,1
Sweden,2019,SWE,38.564166666666665,42.33464,41.9,53.2,55.6,81.9,238.2,59.3,1
Sweden,2020,SWE,20.730833333333333,38.71047,41.9,53.2,55.6,81.9,238.2,59.3,1
Sweden,2021,SWE,64.22833333333334,41.797646,41.9,53.2,55.6,81.9,238.2,59.3,1
Sweden,2022,SWE,119.45333333333333,41.067406,41.9,53.2,55.6,81.9,238.2,59.3,1
Sweden,2023,SWE,51.83416666666667,40.694878,41.9,53.2,55.6,81.9,238.2,59.3,1
Switzerland,2015,CHE,40.35583333333333,34.3575,34.7,41.3,49.4,73.1,205.2,46.9,3
Switzerland,2016,CHE,37.85666666666666,37.806873,34.7,41.3,49.4,73.1,205.2,46.9,3
Switzerland,2017,CHE,46.03,38.071487,34.7,41.3,49.4,73.1,205.2,46.9,3
Switzerland,2018,CHE,52.21,34.545177,34.7,41.3,49.4,73.1,205.2,46.9,3
Switzerland,2019,CHE,40.95166666666667,33.867085,34.7,41.3,49.4,73.1,205.2,46.9,3
Switzerland,2020,CHE,33.98833333333334,35.041615,34.7,41.3,49.4,73.1,205.2,46.9,3
Switzerland,2021,CHE,114.56916666666666,37.083992,34.7,41.3,49.4,73.1,205.2,46.9,3
Switzerland,2022,CHE,280.99583333333334,36.13297,34.7,41.3,49.4,73.1,205.2,46.9,3
Switzerland,2023,CHE,107.78583333333334,34.842716,34.7,41.3,49.4,73.1,205.2,46.9,3
